work,book_names,book_summary,book_category
150,Conscious Uncoupling,1-Sentence-Summary: Conscious Uncoupling will improve your love life by showing you how to break up the right way and why things are going to be okay after you separate from someone you once loved.,"['Culture', 'Happiness', 'Psychology', 'Relationships', 'Self Improvement']"
151,Contagious,"1-Sentence-Summary: Contagious illustrates why certain ideas and products spread better than others by sharing compelling stories from the world of business, social campaigns, and media.",['Entrepreneurship']
152,"Content, Inc.","1-Sentence-Summary:聽Content, Inc. describes a six-step model you can use to do your marketing long before you need it, without even having a product, or spending a lot of money, so your entrepreneurial venture will be a guaranteed success.",['Entrepreneurship']
153,Cooked,"1-Sentence-Summary: Cooked is a historical exploration of the human relationship with food and cooking, combined with practical ideas on how to improve your diet by preparing more of your own food.","['Culture', 'Environment', 'Fitness', 'Health', 'Self Improvement', 'Society']"
154,Cosmos,"1-Sentence-Summary: Cosmos will make you smarter by teaching you the basics of how the universe works, including our own solar system and its history.","['Future', 'Motivation & Inspiration', 'Science']"
155,Counterclockwise,1-Sentence-Summary: Counterclockwise is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful.,['Self Improvement']
156,Cradle To Cradle,"1-Sentence-Summary: Cradle To Cradle uncovers the hidden problems with manufacturing, how they affect our planet, and what you can do to help by becoming eco-efficient.","['Business', 'Culture', 'Environment', 'Future', 'Politics', 'Society']"
157,Creative Confidence,1-Sentence-Summary: Creative Confidence helps break the mundanity of everyday work and life by exploring the power that being more innovative has to improve happiness and success in many different areas.,"['Career', 'Creativity', 'Culture', 'Happiness', 'Money', 'Motivation & Inspiration', 'Productivity', 'Self Improvement', 'Success', 'Work']"
158,Creative Schools,1-Sentence-Summary:聽Creative Schools reveals how fundamentally broken our formal education system really is and how we can change our perspective to teach children the competencies and things they actually need to navigate the modern world.,"['Entrepreneurship', 'Self Improvement']"
159,"Creativity, Inc.","1-Sentence-Summary:聽Creativity, Inc. is an instruction manual for instilling inspiration into employees, managers and bosses, by revealing the hidden forces that get in the way, based on over聽30聽years of experience of the president of Pixar, Ed Catmull.",['Entrepreneurship']
160,Cribsheet,"1-Sentence-Summary: Cribsheet is a smart guide on how to make the best parenting choices for you and your child, by using an economic perspective and evidence-based advice based on scientific data.","['Parenting', 'Productivity', 'Psychology', 'Self Improvement']"
161,Crippled America,1-Sentence-Summary: Crippled America makes you a more informed citizen by sharing the political beliefs and reasoning behind billionaire and businessman Donald J. Trump鈥檚 plans to make his country great again.,"['Culture', 'Education', 'History', 'Politics', 'Society']"
162,Crossing The Chasm,"1-Sentence-Summary:聽Crossing The Chasm gives high tech startups a marketing blueprint, in order to make their product get the initial traction it needs to eventually reach the majority of the market and not die in the chasm between early adopters and pragmatists.",['Entrepreneurship']
163,Crucial Conversations,1-Sentence-Summary: Crucial Conversations will teach you how to avoid conflict and come to positive solutions in high-stakes conversations so you can be effective in your personal and professional life. ,"['Entrepreneurship', 'Self Improvement']"
164,Crush It,"1-Sentence-Summary:聽Crush It is the blueprint you need to turn your passion into your profession and will give you the tools to turn yourself into a brand, leverage social media, produce great content and reap the financial benefits of it.","['Entrepreneurship', 'Personal Finance']"
165,Crushing It,"1-Sentence-Summary:聽Crushing It is Gary Vaynerchuk鈥檚 follow-up to his personal branding manifesto Crush It, in which he reiterates the importance of a personal brand and shows you the endless possibilities that come with building one today.",['Entrepreneurship']
166,Dare To Lead,"1-Sentence-Summary:聽Dare To Lead dispels common myths about modern-day workplace culture and shows you that true leadership requires nothing but vulnerability, values, trust, and resilience.","['Entrepreneurship', 'Self Improvement']"
167,Daring Greatly,"1-Sentence-Summary:聽Daring Greatly is a book about having the courage to be vulnerable in a world where everyone wants to appear strong, confident and like they know what they鈥檙e doing.",['Self Improvement']
168,Dark Money,1-Sentence-Summary: Dark Money dives into the depths of the greed and corruption in the American political system by revealing the story of the Koch brothers who have been enabling the ultra-wealthy to influence political decisions for decades.,"['Economics', 'History', 'Money', 'Politics', 'Society']"
169,Dataclysm,1-Sentence-Summary: Dataclysm gives powerful motivation for being more honest online by using information collected from the internet to identify what all of us are really like under the veil of anonymity and how we as a society have changed recently.,"['Culture', 'Society', 'Technology']"
170,David and Goliath,"1-Sentence-Summary:聽David and Goliath explains why underdogs win in situations where the odds are stacked unfavorably against them, and how you can do the same.","['Entrepreneurship', 'Self Improvement']"
171,Decisive,"1-Sentence-Summary:聽Decisive gives you a scientific, 4-step approach to making better decisions in your life and career, based on an extensive聽study of the available聽literature and research on the topic.",['Self Improvement']
172,Deep Nutrition,1-Sentence-Summary: Deep Nutrition will help you get healthier by explaining the danger of modern dieting techniques that are actually doing harm to your body and making you sick. ,"['Fitness', 'Health', 'Nutrition', 'Science']"
173,Deep Thinking,1-Sentence-Summary: Deep Thinking is a recap of the past fifty years of the information revolution and an attempt to identify where AI technology may lead us.,['Entrepreneurship']
174,Deep Work,"1-Sentence-Summary:聽Deep Work proposes that we have lost our ability to focus deeply and immerse ourselves in a complex task, showing you how to cultivate this skill again and focus more than ever before with four simple rules.","['Entrepreneurship', 'Self Improvement']"
175,Delivering Happiness,"1-Sentence-Summary:聽Delivering Happiness explains how聽mega online shoe retailer Zappos built a聽unique company culture and customer experience worth remembering, which turned it into a billion dollar business.",['Entrepreneurship']
176,Descartes鈥?Error,1-Sentence-Summary: Descartes鈥?Error will help you understand why the argument that the mind and body are disconnected is false by using neuroscience and interesting case studies to identify how the body and our emotions play a vital role in logical thinking.,"['History', 'Philosophy', 'Psychology', 'Science']"
177,Design To Grow,"1-Sentence-Summary:聽Design To Grow uses Coca-Cola as an example of how keeping a company stable and flexible at the same time over decades is not only possible, but a must to grow and scale your business across the globe.",['Entrepreneurship']
178,Design Your Future,1-Sentence-Summary: Design Your Future motivates you to get out of your limiting beliefs and fears that are holding you back from building a life you love by identifying why you got stuck in a career or job you hate and what steps you must take to finally live your dreams.,"['Career', 'Future', 'Happiness', 'Mindfulness', 'Motivation & Inspiration', 'Productivity', 'Self Improvement', 'Success', 'Work']"
179,Designing Your Life,"1-Sentence-Summary: Designing Your Life will show you how to break the shackles of your mundane 9-5 job by sharing exercises and tips that will direct you towards your true calling that fills you with passion, purpose, and fulfillment.","['Career', 'Entrepreneurship', 'Happiness', 'Money', 'Motivation & Inspiration', 'Productivity', 'Self Improvement', 'Success', 'Work']"
180,Difficult Conversations,"1-Sentence-Summary: Difficult Conversations identifies why we shy away from some conversations more than others, and what we can do to navigate them successfully and without stress.",['Self Improvement']
181,Digital Minimalism,1-Sentence-Summary: Digital Minimalism shows us where to draw the line with technology and how taking time off our digital devices is the key to living a focused life in a noisy world.,['Self Improvement']
182,Digital Renaissance,"1-Sentence-Summary: Digital Renaissance uses empirical data to show that the digitization of media has led to a flood of art, but that its average quality hasn鈥檛 changed.","['Entrepreneurship', 'Self Improvement']"
183,Disrupt Yourself,"1-Sentence-Summary:聽Disrupt Yourself explains how you can harness聽the ever-accelerating power of disruptive innovation in your personal life, be it to advance your career or to build a company that thrives, by embracing your limitations, focusing on your strengths and staying flexible and curious along the way.","['Entrepreneurship', 'Self Improvement']"
184,Do Over,"1-Sentence-Summary:聽Do Over shines a light on the four core skills you need to build an amazing career: relationships, skills, character and hustle, and shows you how to develop each one of them and use them in different stages of your career.","['Entrepreneurship', 'Self Improvement']"
185,Do The Work,"1-Sentence-Summary:聽Do The Work is Steven Pressfield鈥檚 follow-up to The War Of Art, where he gives you actionable tactics and strategies to overcome resistance, the force behind procrastination.","['Entrepreneurship', 'Self Improvement']"
186,Do What You Are,1-Sentence-Summary: Do What You Are will help you discover your personality type and how it can lead you to a more satisfying career that corresponds to your talents and interests.,"['Career', 'Happiness', 'Mindfulness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Self Improvement', 'Success', 'Work']"
187,Dollars And Sense,1-Sentence-Summary: Dollars And Sense explains why it鈥檚 so hard to manage money and teaches you how to combat false cues and natural desires so you can manage your dollars in better ways.,"['Personal Finance', 'Self Improvement']"
188,Don鈥檛 Sweat The Small Stuff (鈥?And It鈥檚 All Small Stuff),"1-Sentence-Summary:聽Don鈥檛 Sweat The Small Stuff (鈥?And It鈥檚 All Small Stuff) will keep you from letting the little, stressful things in life, like your email inbox, rushing to trains, and annoying co-workers drive you insane and help you find peace and calm in a stressful world.",['Self Improvement']
189,Doubt: A History,"1-Sentence-Summary: Doubt: A History is a fascinating look at the historical influence of doubt on science, religion, and the way we think today.","['Culture', 'History', 'Philosophy', 'Religion', 'Science', 'Society', 'Spirituality']"
190,Doughnut Economics,"1-Sentence-Summary:聽Doughnut Economics is a wake-up call to transform our capitalist worldview obsessed with growth into a more balanced, sustainable perspective that allows both humans and our planet to thrive.","['Entrepreneurship', 'Self Improvement']"
191,Dreamland,"1-Sentence-Summary: Dreamland blows open the story of the United States鈥?opioid crisis, from the frustrating greed and oversight that created it, how drug dealers accelerated it鈥檚 spread, and what we鈥檙e doing now to stop it.","['Culture', 'Health', 'History', 'Politics', 'Society']"
192,Drive,1-Sentence-Summary:聽Drive explores what has motivated humans throughout history and explains how we shifted from mere survival to the carrot and stick approach that鈥檚 still practiced today 鈥?and why it鈥檚 outdated.,"['Entrepreneurship', 'Self Improvement']"
193,Duct Tape Marketing,1-Sentence-Summary:聽Duct Tape Marketing introduces small businesses to the nuts and bolts of marketing in the 21st century by taking them all the way from character profiles and strategy through specific marketing tactics to building a great referral system.,['Entrepreneurship']
194,"Eat, Move, Sleep","1-Sentence-Summary:聽Eat, Move, Sleep shows you that living a long and healthy life is not the result of massive lifestyle changes, but of lots of small habits, which improve the way you sleep, eat and exercise and, if combined, add a whole lot to your health.",['Self Improvement']
195,Eat That Frog,1-Sentence-Summary:聽Eat That Frog provides 21 techniques and strategies to stop procrastinating and get more done.,"['Entrepreneurship', 'Self Improvement']"
196,Eat To Live,"1-Sentence-Summary: Eat To Live will help you lose weight, feel better, and live longer by identifying the flaws in what we think is true about nutrition and using science and case studies to reveal how certain foods affect us for better or worse.","['Culture', 'Fitness', 'Health', 'Nutrition', 'Self Improvement', 'Society']"
197,Eating Animals,"1-Sentence-Summary: Eating Animals reveals the true burden of the modern-day meat industry that we all bear as a society and details the environmental, health-related, and ethical consequences.",['Self Improvement']
198,Educated,"1-Sentence-Summary: Educated will help you become more grateful for your schooling, freedom, and normal relationships by explaining the family difficulties that Tara Westover had to break free of so that she could get her own education.","['Biography', 'Career', 'Education', 'Happiness', 'Money', 'Parenting', 'Relationships', 'Religion', 'Self Improvement', 'Success', 'Work']"
199,Ego Is The Enemy,"1-Sentence-Summary:聽Ego Is The Enemy reveals how a tendency that鈥檚 hardwired into our brains 鈥?the belief the world revolves around us and us alone 鈥?holds us back from living the life it makes us desire so much, what we can do to overcome it at every turn and how to achieve true greatness.",['Self Improvement']
200,Einstein: His Life And Universe,"1-Sentence-Summary:聽Einstein: His Life And Universe takes a close look at the life of Albert Einstein, beginning in how his childhood shaped him, what his biggest discoveries and personal struggles were and how his focus changed in later years, without his genius聽ever fading until his very last moment.",['Self Improvement']
201,Elon Musk,"1-Sentence-Summary:聽Elon Musk is the first official biography of the creator of SolarCity, SpaceX and Tesla, based on over 30 hours of conversation time between author聽Ashlee Vance and Musk himself, highlighting his complicated childhood, the way he makes decisions and navigates the world, and how he managed to disrupt multiple industries, all with the goal of saving humanity.","['Biography', 'Entrepreneurship', 'Self Improvement']"
202,Emotional Agility,"1-Sentence-Summary:聽Emotional Agility provides a new, science-backed approach to navigating life鈥檚 many trials and detours on your path to fulfillment, with which you鈥檒l face your emotions head on, observe them objectively, make choices based on your values and slowly tweak your mindset, motivation and habits.",['Self Improvement']
203,Emotional Intelligence,"1-Sentence-Summary:聽Emotional Intelligence explains the importance of emotions in your life, how they help and hurt your ability to navigate the world, followed by practical advice on how to improve your own emotional intelligence and why that is the聽key to leading a successful life.",['Self Improvement']
204,Empire Of Illusion,"1-Sentence-Summary: Empire Of Illusion motivates you to watch less TV and get better at reading by outlining the sharp drop in literacy levels in the United States in recent years, the negative effects that have followed, and the dark future ahead if we continue on this path.","['Culture', 'Education', 'Future', 'Happiness', 'History', 'Motivation & Inspiration', 'Self Improvement', 'Society']"
205,Empty Planet,1-Sentence-Summary: Empty Planet explains why overpopulation alarmists are wrong and how depopulation poses the more imminent threat to the happiness of humanity.,['Self Improvement']
206,Ending Aging,"1-Sentence-Summary:聽Ending Aging describes how the process of aging is like a disease and therefore, treatable, by outlining the seven primary ways in which we age and possible antidotes to all of them, plus a glimpse into the future of potentially indefinite human life.",['Self Improvement']
207,Energy,"1-Sentence-Summary: Energy makes you smarter by helping you understand where this important aspect of our lives comes from, how we鈥檝e used it throughout history to get to where we are today, and why we need to be careful about how we consume it so that we can have a better future.","['Environment', 'Future', 'Science', 'Society']"
208,Enlightenment Now,"1-Sentence-Summary:聽Enlightenment Now describes how the values of the Enlightenment, science, reason, humanism, and progress, keep improving our world until today, making it a better place day by day, despite the negative news.",['Self Improvement']
209,EntreLeadership,1-Sentence-Summary: EntreLeadership provides you with a path to becoming a great leader in your company by identifying the necessary management and entrepreneurial skills.,"['Entrepreneurship', 'Self Improvement']"
210,Epic Content Marketing,1-Sentence-Summary: Epic Content Marketing shows why traditional methods for selling like TV and direct mail are dead and how creating content is the new future of advertising because it actually grabs people鈥檚 attention by focusing on what they care about instead of your product.,"['Business', 'Career', 'Communication Skills', 'Creativity', 'Entrepreneurship', 'Marketing', 'Productivity', 'Sales', 'Work']"
211,Essentialism,1-Sentence-Summary:聽Essentialism shows you a new approach to productivity and life by allowing you to be extremely selective about聽the essential things in your life and then ruthlessly cutting out everything else.,"['Entrepreneurship', 'Self Improvement']"
212,Everybody Lies,"1-Sentence-Summary: Everybody Lies will expand your mind about the true nature of human beings by explaining what big data is, how it came to be, and how we can use it to understand ourselves better.","['Culture', 'Psychology', 'Society', 'Technology']"
213,Everybody Matters,"1-Sentence-Summary: Everybody Matters identifies the best way to become successful in business, help your team members trust you, and enable people to reach their full potential by showing the power of taking better care of your employees as if they were family.","['Business', 'Career', 'Culture', 'Entrepreneurship', 'Happiness', 'Leadership', 'Management', 'Productivity', 'Relationships', 'Work']"
214,Everything I Know,"1-Sentence-Summary:聽Everything I Know ditches all the rules and gives you a guide to living a fulfilled and adventurous life that can be infinitely updated, stretched, expanded and customized, based on who you are, instead of another 鈥渄o-this-to-get-rich-fast鈥?scheme that doesn鈥檛 work for everyone.","['Entrepreneurship', 'Self Improvement']"
215,Everything Is F*cked,1-Sentence-Summary: Everything Is F*cked explains what鈥檚 wrong with our approach towards happiness and gives philosophical suggestions that help us make our lives worth living.,['Self Improvement']
216,Everything Is Figureoutable,1-Sentence-Summary: Everything Is Figureoutable will help you annihilate the limiting beliefs that are holding you back so that you can finally pursue your dreams by identifying the thinking patterns that get you stuck and how to use self-empowerment principles to become free.,"['Happiness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Self Improvement', 'Success']"
217,Everything Is Obvious,"1-Sentence-Summary:聽Everything Is Obvious shows you that common sense isn鈥檛 as reliable as you think it is, because it often fails us in helping to make predictions, and how you can change the way you or your company make decisions with聽more scientific, statistically grounded methods.","['Entrepreneurship', 'Self Improvement']"
218,Evicted,"1-Sentence-Summary: Evicted reveals the awful situation of those living in the poorest cities in the United States by identifying how this situation came to be, the horrendous effect it has on the individuals and families that deal with it, and what we might do to stop it.","['Culture', 'Politics', 'Society']"
219,Excellent Sheep,"1-Sentence-Summary:聽Excellent Sheep聽describes how fundamentally broken elite education is, why it makes students feel depressed and lost, how educational institutions have been alienated from their true purpose, what students really must learn in college and how we can go back to making college a place for self-discovery and critical thinking.","['Entrepreneurship', 'Self Improvement']"
220,Executive Presence,1-Sentence-Summary: Executive Presence is an insightful and actionable overview of the most essential components of a successful leader鈥檚 presence.,"['Entrepreneurship', 'Self Improvement']"
221,Exploring The World Of Lucid Dreaming,1-Sentence-Summary: Exploring The World Of Lucid Dreaming is a practical guide to dreaming consciously which uncovers an invaluable channel of communication between your conscious and unconscious mind.,['Self Improvement']
222,Extraordinary Influence,"1-Sentence-Summary: Extraordinary Influence helps you become a better leader by revealing what neuroscience has to say about effective leadership, identifying communication as the key to the highest levels of performance.","['Business', 'Career', 'Communication Skills', 'Entrepreneurship', 'Leadership', 'Management', 'Productivity', 'Relationships', 'Self Improvement', 'Success', 'Work']"
223,Extreme Ownership,"1-Sentence-Summary: Extreme Ownership contains useful leadership advice from two Navy SEALs who learned to stay strong, disciplined, and level-headed in high-stakes combat scenarios.","['Entrepreneurship', 'Self Improvement']"
224, Facebook Ads Manual,"1-Sentence-Summary: Facebook Ads Manual gives you an exact, step-by-step tutorial to create and run your first Facebook ads campaign, allowing you to market your product, page, or yourself to a massive audience for next to no money and make you a true social media marketer.",['Entrepreneurship']
225,Factfulness,"1-Sentence-Summary:聽Factfulness explains how our worldview has been distorted with the rise of new media, which ten human instincts cause erroneous thinking, and how we can learn to separate fact from fiction when forming our opinions.",['Self Improvement']
226,Failing Forward,"1-Sentence-Summary:聽Failing Forward will help you stop making excuses, start embracing failure as a natural, necessary part of the process and let you find the confidence to proceed anyway.","['Entrepreneurship', 'Self Improvement']"
227,Faith,"1-Sentence-Summary: Faith is an in-depth exploration of the many meanings of faith and the various ways it affects human life, backed by the personal account of former US President Jimmy Carter.",['Self Improvement']
228,Farmageddon,"1-Sentence-Summary:聽Farmageddon is a shocking compendium of the facts and figures about how the mass production of cheap meat influences our world, ranging from water and air pollution, to threatening species, to making us obese and sick, in order to聽show why we must return to more traditional farming techniques to sustainably feed the world.",['Self Improvement']
229,Fast Food Nation,"1-Sentence-Summary:聽Fast Food Nation describes how the fast food industry has reduced the overall food quality worldwide, created poor working conditions for millions of people and ruined public health.",['Self Improvement']
230,Fear,"1-Sentence-Summary: Fear takes an inside look through the eyes of journalist, Bob Woodward, into a deeply flawed President, Donald Trump, and the dysfunctional administration that surrounds him. ","['Culture', 'Leadership', 'Politics', 'Society']"
231,Feral,1-Sentence-Summary: Feral will help you find ways to improve the well-being of humanity by illustrating the deep connection between us and Nature and offering actionable advice on how to preserve balance in our ecosystems through rewilding.,"['Environment', 'Future', 'Happiness', 'Health', 'Mindfulness', 'Science']"
232,Find Your Why,"1-Sentence-Summary:聽Find Your Why is an actionable guide to discover your mission in life, figure out how you can live it on a daily basis and share it with the world.","['Entrepreneurship', 'Self Improvement']"
233,Finding My Virginity,"1-Sentence-Summary:聽Finding My Virginity is Richard Branson鈥檚 follow-up biography, which shares the highlights of his entrepreneurial journey over the past two decades.",['Entrepreneurship']
234,Finding Your Element,"1-Sentence-Summary:聽Finding Your Element shows you how to find your talents and passions, embrace them, and come up with your own definition of happiness, so you can combine what you love with what you鈥檙e good at to live a long, happy life.",['Self Improvement']
235,Finish,"1-Sentence-Summary: Finish identifies perfectionism as the biggest enemy of your goals, in order to then help you defeat it with research backed strategies to get things out the door while having fun, taking the pressure off and cutting yourself some slack.","['Entrepreneurship', 'Self Improvement']"
236,Finite And Infinite Games,"1-Sentence-Summary: Finite And Infinite Games聽offers the theory that we play many different games in life, showing you that work and relationships are long-term endeavors and how to play them in order to win.",['Self Improvement']
237,Fire And Fury,"1-Sentence-Summary:聽Fire And Fury is a first-person account of Donald Trump鈥檚 presidential campaign in 2016, his unexpected victory, and subsequent first year in the White House as 45th president of the United States.",['Self Improvement']
238,First Bite,"1-Sentence-Summary:聽First Bite explains how you鈥檝e acquired your eating habits in your childhood and why they鈥檙e not hardwired, as well as how you can change them for the better and teach your children to eat healthy.","['Health', 'Nutrition', 'Parenting', 'Self Improvement']"
239,First Things First,"1-Sentence-Summary:聽First Things First shows you how to stop looking at the clock and start looking at the compass, by figuring out what鈥檚 important, prioritizing those things in your life, developing a vision for the future, building the right relationships and becoming a strong leader wherever you go.",['Self Improvement']
240,Flourish,"1-Sentence-Summary:聽Flourish establishes a new model for well-being, rooted in positive psychology, building on five key pillars to help you create a happy life through the power of simple exercises.",['Self Improvement']
241,Flow,"1-Sentence-Summary:聽Flow explains why we seek happiness in externals and what鈥檚 wrong with it, where you can really find enjoyment in life, and how you can truly become happy by creating your own meaning of life.",['Self Improvement']
242,Focus,"1-Sentence-Summary:聽Focus shows you that attention is the thing that makes life worth living and helps you develop more of it to聽become focused in every area of life: work, relationships and your own attitude towards life and the planet.",['Self Improvement']
243,Food Fix,1-Sentence-Summary: Food Fix will help you eat healthier and improve the environment at the same time by explaining how bad our food is for us and our planet and what we can each do to fix these problems.,"['Culture', 'Environment', 'Fitness', 'Future', 'Health', 'Nutrition', 'Politics', 'Science', 'Self Improvement']"
244,Fooled By Randomness,"1-Sentence-Summary:聽Fooled By Randomness explains how luck, uncertainty, probability, human error, risk, and decision-making work together to influence our actions, set against the backdrop of business and specifically, investing, to uncover how much bigger the role of chance in our lives is, than we usually make it out to be.","['Entrepreneurship', 'Self Improvement']"
245,Forensics: The Anatomy Of Crime,"1-Sentence-Summary:聽Forensics: The Anatomy Of Crime gives you an inside looks at all the different fields of criminal forensics and their history, showing you how the investigation and evidence-collection of crimes has changed dramatically within the last 200 years, helping us find the truth behind more and more crimes.",['Self Improvement']
246,Founders at Work,1-Sentence-Summary: Founders at Work shows you how to start a successful business based on the principles of the founders of some of the world鈥檚 most famous and accomplished startups.,"['Entrepreneurship', 'Self Improvement']"
247,Freakonomics,"1-Sentence-Summary:聽Freakonomics helps you make better decisions by showing you how your life is dominated by incentives, how to close information asymmetries between you and the experts that exploit you and how to really tell the difference between causation and correlation.","['Personal Finance', 'Self Improvement']"
248,Free: The Future Of A Radical Price,"1-Sentence-Summary:聽Free: The Future Of A Radical Price explains how offering things for free has moved from marketing gimmick to truly sustainable business strategy, thanks to the power of the internet, and how free and freemium models are already changing how聽we sell stuff.",['Entrepreneurship']
249,Free To Focus,"1-Sentence-Summary: Free To Focus will make you more productive by identifying why your understanding of the definition of efficient work is flawed, how to fix it, and how to have the confidence to say no to distractions and work that isn鈥檛 worth your time.",['Productivity']
250,From Here To Financial Happiness,1-Sentence-Summary: From Here To Financial Happiness is your guide to having a healthier relationship with money and shows you how looking to the future to prepare for what鈥檚 ahead can make you a lot less stressed about your financial life.,"['Career', 'Money', 'Personal Finance', 'Self Improvement']"
251,Game Changers,1-Sentence-Summary: Game Changers reveals the secrets that some of the most impactful people in the world use to hack their biology and win at life and will teach you how to achieve your goals and be happy. ,"['Future', 'Happiness', 'Health', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Self Improvement', 'Success', 'Work']"
252,Genius Foods,1-Sentence-Summary: Genius Foods is the ultimate science-based diet plan that will help your brain perform with clarity and intelligence while protecting you against dementia. ,['Self Improvement']
253,Genius: The Life And Science Of Richard Feynman,"1-Sentence-Summary:聽Genius: The Life And Science Of Richard Feynman tells the story of one the greatest minds in the history of science, all the way from his humble beginnings to changing physics as we know it and receiving the Nobel prize.",['Self Improvement']
254,Get Out Of Your Own Way,1-Sentence-Summary: Get Out Of Your Own Way guides you through the process of overcoming what鈥檚 holding you back from being your best self and reaching success you鈥檝e never dreamed of by identifying how Dave Hollis came to realize his limiting beliefs and beat them.,"['Happiness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Self Improvement', 'Success', 'Work']"
255,Get Smart,"1-Sentence-Summary:聽Get Smart reveals how you can access more of your brain鈥檚 power through simple, actionable brain training techniques that鈥檒l spark your creativity, make you look for the positive and help you achieve your goals faster.",['Self Improvement']
256,Getting Everything You Can Out Of All You鈥檝e Got,"1-Sentence-Summary:聽Getting Everything You Can Out Of All You鈥檝e Got gives you 21 ways to beat the competition in business by working with the assets you have, but are not considering, learning to see opportunities where others see obstacles and doing things differently on purpose.",['Entrepreneurship']
257,Getting There,1-Sentence-Summary: Getting There will inspire you to move toward your entrepreneurial dreams with the business journeys of six successful entrepreneurs. ,"['Business', 'Creativity', 'Entrepreneurship', 'Marketing', 'Motivation & Inspiration', 'Success']"
258,Getting Things Done,"1-Sentence-Summary:聽Getting Things Done is a manual for stress-free productivity, which helps you set up a system of lists, reminders and weekly reviews, in order to free your mind from having to remember tasks and to-dos and instead let it work at full focus on the task at hand.","['Productivity', 'Self Improvement', 'Work']"
259,Ghettoside,"1-Sentence-Summary:聽Ghettoside explains the history of homicide in the United States and why particularly black communities struggle with high murder rates, as well as what can and must be done to change the status quo for the better.","['Entrepreneurship', 'Self Improvement']"
260,"Girl, Stop Apologizing","1-Sentence-Summary: Girl, Stop Apologizing is an inspirational book for women everywhere to start living up to their potential and stop apologizing for following their dreams. ","['Career', 'Happiness', 'Motivation & Inspiration', 'Productivity', 'Psychology', 'Self Improvement', 'Success']"
261,"Girl, Wash Your Face","1-Sentence-Summary: Girl, Wash Your Face inspires women to take their lives into their own hands and make their dreams happen, no matter how discouraged they may feel at the moment.",['Self Improvement']
262,#GIRLBOSS,1-Sentence-Summary: #GIRLBOSS shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways.,"['Entrepreneurship', 'Self Improvement']"
263,Give And Take,"1-Sentence-Summary:聽Give And Take explains the three different types of how we interact with others and shows you why being a giver is, contrary to popular belief, the best way to success in business and life.","['Entrepreneurship', 'Self Improvement']"
264,Good To Great,"1-Sentence-Summary:聽Good To Great examines what it takes for ordinary companies to become great and outperform their competitors by analyzing 28 companies over 30聽years, who managed to make the transition or fell prey to their bad habits.",['Entrepreneurship']
265,Grain Brain,"1-Sentence-Summary:聽Grain Brain takes a look at the impact carbohydrates have on the structure and development of your brain, arriving at the conclusion that a diet high in fat, low in carbs and especially sugar, combined with fasting, lots of activity and more sleep could provide you with a much higher quality of life.",['Self Improvement']
266,Great At Work,1-Sentence-Summary: Great At Work examines what it takes to be a top performer and gives practical advice to achieve significant results at work while maintaining an excellent work-life balance.,"['Entrepreneurship', 'Self Improvement']"
267,Great By Choice,"1-Sentence-Summary:聽Great By Choice analyzes what makes the world鈥檚 best companies thrive in even the most uncertain and chaotic times, by distilling nine years of research and great stories into three actionable principles.","['Entrepreneurship', 'Self Improvement']"
268,Great Thinkers,1-Sentence-Summary: Great Thinkers shows how much of what鈥檚 truly important in life can be solved by the wisdom left behind by brilliant minds from long past.聽,"['Happiness', 'Mindfulness', 'Motivation & Inspiration', 'Philosophy', 'Psychology', 'Self Improvement', 'Spirituality', 'Success']"
269,Grit,"1-Sentence-Summary:聽Grit describes what creates outstanding achievements, based on science, interviews with high achievers from various fields and the personal history of success of the author, Angela Duckworth, uncovering that achievement isn鈥檛 reserved for the talented only, but for those with passion and perseverance.","['Business', 'Career', 'Leadership', 'Motivation & Inspiration', 'Psychology', 'Science', 'Self Improvement', 'Work']"
270,Growth Hacker Marketing,1-Sentence-Summary:聽Growth Hacker Marketing uses a 4-step framework to explain聽how today鈥檚 startups remove the barrier between marketing and product development to make the product itself the best way to get new customers.,"['Business', 'Creativity', 'Entrepreneurship', 'Marketing', 'Sales', 'Technology']"
271,Habits Of A Happy Brain,"1-Sentence-Summary:聽Habits Of A Happy Brain explains the four neurotransmitters in your brain that create happiness, why you can鈥檛 be happy all the time, and how you can rewire your brain by taking responsibility for your own hormones and thus, happiness.",['Self Improvement']
272,Hackers and Painters,"1-Sentence-Summary:聽Hackers and Painters is a collection of essays by Y Combinator founder Paul Graham about what makes a good computer programmer and how you can聽code聽the future if you are one, making a fortune in the process.","['Business', 'Creativity', 'Entrepreneurship', 'Science', 'Success', 'Technology']"
273,Happier At Home,"1-Sentence-Summary:聽Happier At Home is an instruction manual to transform your home into a castle of happiness by figuring out what needs to be changed, what needs to stay the same, and embracing the gift of family.",['Self Improvement']
274,Happier,1-Sentence-Summary: Happier will improve your mental state and level of success by identifying what you get wrong about joy and how to discover what鈥檚 most important to you and how to make those things a more significant part of your life.,"['Happiness', 'Mindfulness', 'Motivation & Inspiration', 'Psychology', 'Relationships', 'Self Improvement', 'Success']"
