,0
209,"208,206 1-sentence-summary energy make you smarter by helping you understand where this important aspect of our life come from how we ve used it throughout history to get to where we are today and why we need to be careful about how we consume it so that we can have a better future
#"
210,"209,207 1-sentence-summary enlightenment now describes how the value of the enlightenment science reason humanism and progress keep improving our world until today making it a better place day by day despite the negative news
#"
211,"210,""208,1-sentence-summary entreleadership provides you with a path to becoming a great leader in your company by identifying the necessary management and entrepreneurial skill""
#"
212,"211,""209,1-sentence-summary epic content marketing show why traditional method for selling like tv and direct mail are dead and how creating content is the new future of advertising because it actually grab people s attention by focusing on what they care about instead of your product""
#"
213,"212,""210,1-sentence-summary essentialism show you a new approach to productivity and life by allowing you to be extremely selective about the essential thing in your life and then ruthlessly cutting out everything else""
#"
214,"213,211 1-sentence-summary everybody lie will expand your mind about the true nature of human being by explaining what big data is how it came to be and how we can use it to understand ourselves better
#"
215,"214,212 1-sentence-summary everybody matter identifies the best way to become successful in business help your team member trust you and enable people to reach their full potential by showing the power of taking better care of your employee a if they were family
#"
216,"215,213 1-sentence-summary everything i know ditch all the rule and give you a guide to living a fulfilled and adventurous life that can be infinitely updated stretched expanded and customized based on who you are instead of another do-this-to-get-rich-fast scheme that doesn t work for everyone
#"
217,"216,""214,1-sentence-summary everything is f cked explains what s wrong with our approach towards happiness and give philosophical suggestion that help u make our life worth living""
#"
218,"217,""215,1-sentence-summary everything is figureoutable will help you annihilate the limiting belief that are holding you back so that you can finally pursue your dream by identifying the thinking pattern that get you stuck and how to use self-empowerment principle to become free""
#"
219,"218,216 1-sentence-summary everything is obvious show you that common sense isn t a reliable a you think it is because it often fails u in helping to make prediction and how you can change the way you or your company make decision with more scientific statistically grounded method
#"
220,"219,217 1-sentence-summary evicted reveals the awful situation of those living in the poorest city in the united state by identifying how this situation came to be the horrendous effect it ha on the individual and family that deal with it and what we might do to stop it
#"
221,"220,218 1-sentence-summary excellent sheep describes how fundamentally broken elite education is why it make student feel depressed and lost how educational institution have been alienated from their true purpose what student really must learn in college and how we can go back to making college a place for self-discovery and critical thinking
#"
222,"221,""219,1-sentence-summary executive presence is an insightful and actionable overview of the most essential component of a successful leader s presence""
#"
223,"222,""220,1-sentence-summary exploring the world of lucid dreaming is a practical guide to dreaming consciously which uncovers an invaluable channel of communication between your conscious and unconscious mind""
#"
224,"223,221 1-sentence-summary extraordinary influence help you become a better leader by revealing what neuroscience ha to say about effective leadership identifying communication a the key to the highest level of performance
#"
225,"224,222 1-sentence-summary extreme ownership contains useful leadership advice from two navy seal who learned to stay strong disciplined and level-headed in high-stakes combat scenario
#"
226,"225,223 1-sentence-summary facebook ad manual give you an exact step-by-step tutorial to create and run your first facebook ad campaign allowing you to market your product page or yourself to a massive audience for next to no money and make you a true social medium marketer
#"
227,"226,224 1-sentence-summary factfulness explains how our worldview ha been distorted with the rise of new medium which ten human instinct cause erroneous thinking and how we can learn to separate fact from fiction when forming our opinion
#"
228,"227,225 1-sentence-summary failing forward will help you stop making excuse start embracing failure a a natural necessary part of the process and let you find the confidence to proceed anyway
#"
229,"228,226 1-sentence-summary faith is an in-depth exploration of the many meaning of faith and the various way it affect human life backed by the personal account of former u president jimmy carter
#"
230,"229,227 1-sentence-summary farmageddon is a shocking compendium of the fact and figure about how the mass production of cheap meat influence our world ranging from water and air pollution to threatening specie to making u obese and sick in order to show why we must return to more traditional farming technique to sustainably feed the world
#"
231,"230,228 1-sentence-summary fast food nation describes how the fast food industry ha reduced the overall food quality worldwide created poor working condition for million of people and ruined public health
#"
232,"231,229 1-sentence-summary fear take an inside look through the eye of journalist bob woodward into a deeply flawed president donald trump and the dysfunctional administration that surround him
#"
233,"232,""230,1-sentence-summary feral will help you find way to improve the well-being of humanity by illustrating the deep connection between u and nature and offering actionable advice on how to preserve balance in our ecosystem through rewilding""
#"
234,"233,231 1-sentence-summary find your why is an actionable guide to discover your mission in life figure out how you can live it on a daily basis and share it with the world
#"
235,"234,232 1-sentence-summary finding my virginity is richard branson s follow-up biography which share the highlight of his entrepreneurial journey over the past two decade
#"
236,"235,233 1-sentence-summary finding your element show you how to find your talent and passion embrace them and come up with your own definition of happiness so you can combine what you love with what you re good at to live a long happy life
#"
237,"236,234 1-sentence-summary finish identifies perfectionism a the biggest enemy of your goal in order to then help you defeat it with research backed strategy to get thing out the door while having fun taking the pressure off and cutting yourself some slack
#"
238,"237,235 1-sentence-summary finite and infinite game offer the theory that we play many different game in life showing you that work and relationship are long-term endeavor and how to play them in order to win
#"
239,"238,236 1-sentence-summary fire and fury is a first-person account of donald trump s presidential campaign in 2016 his unexpected victory and subsequent first year in the white house a 45th president of the united state
#"
240,"239,237 1-sentence-summary first bite explains how you ve acquired your eating habit in your childhood and why they re not hardwired a well a how you can change them for the better and teach your child to eat healthy
#"
241,"240,238 1-sentence-summary first thing first show you how to stop looking at the clock and start looking at the compass by figuring out what s important prioritizing those thing in your life developing a vision for the future building the right relationship and becoming a strong leader wherever you go
#"
242,"241,239 1-sentence-summary flourish establishes a new model for well-being rooted in positive psychology building on five key pillar to help you create a happy life through the power of simple exercise
#"
243,"242,240 1-sentence-summary flow explains why we seek happiness in external and what s wrong with it where you can really find enjoyment in life and how you can truly become happy by creating your own meaning of life
#"
244,"243,241 1-sentence-summary focus show you that attention is the thing that make life worth living and help you develop more of it to become focused in every area of life work relationship and your own attitude towards life and the planet
#"
245,"244,""242,1-sentence-summary food fix will help you eat healthier and improve the environment at the same time by explaining how bad our food is for u and our planet and what we can each do to fix these problem""
#"
246,"245,243 1-sentence-summary fooled by randomness explains how luck uncertainty probability human error risk and decision-making work together to influence our action set against the backdrop of business and specifically investing to uncover how much bigger the role of chance in our life is than we usually make it out to be
#"
247,"246,244 1-sentence-summary forensics the anatomy of crime give you an inside look at all the different field of criminal forensics and their history showing you how the investigation and evidence-collection of crime ha changed dramatically within the last 200 year helping u find the truth behind more and more crime
#"
248,"247,""245,1-sentence-summary founder at work show you how to start a successful business based on the principle of the founder of some of the world s most famous and accomplished startup""
#"
249,"248,246 1-sentence-summary freakonomics help you make better decision by showing you how your life is dominated by incentive how to close information asymmetry between you and the expert that exploit you and how to really tell the difference between causation and correlation
#"
250,"249,247 1-sentence-summary free the future of a radical price explains how offering thing for free ha moved from marketing gimmick to truly sustainable business strategy thanks to the power of the internet and how free and freemium model are already changing how we sell stuff
#"
251,"250,248 1-sentence-summary free to focus will make you more productive by identifying why your understanding of the definition of efficient work is flawed how to fix it and how to have the confidence to say no to distraction and work that isn t worth your time
#"
252,"251,""249,1-sentence-summary from here to financial happiness is your guide to having a healthier relationship with money and show you how looking to the future to prepare for what s ahead can make you a lot le stressed about your financial life""
#"
253,"252,""250,1-sentence-summary game changer reveals the secret that some of the most impactful people in the world use to hack their biology and win at life and will teach you how to achieve your goal and be happy""
#"
254,"253,""251,1-sentence-summary genius food is the ultimate science-based diet plan that will help your brain perform with clarity and intelligence while protecting you against dementia""
#"
255,"254,252 1-sentence-summary genius the life and science of richard feynman tell the story of one the greatest mind in the history of science all the way from his humble beginning to changing physic a we know it and receiving the nobel prize
#"
256,"255,""253,1-sentence-summary get out of your own way guide you through the process of overcoming what s holding you back from being your best self and reaching success you ve never dreamed of by identifying how dave hollis came to realize his limiting belief and beat them""
#"
257,"256,254 1-sentence-summary get smart reveals how you can access more of your brain s power through simple actionable brain training technique that ll spark your creativity make you look for the positive and help you achieve your goal faster
#"
258,"257,255 1-sentence-summary getting everything you can out of all you ve got give you 21 way to beat the competition in business by working with the asset you have but are not considering learning to see opportunity where others see obstacle and doing thing differently on purpose
#"
259,"258,""256,1-sentence-summary getting there will inspire you to move toward your entrepreneurial dream with the business journey of six successful entrepreneur""
#"
260,"259,257 1-sentence-summary getting thing done is a manual for stress-free productivity which help you set up a system of list reminder and weekly review in order to free your mind from having to remember task and to-do and instead let it work at full focus on the task at hand
#"
261,"260,258 1-sentence-summary ghettoside explains the history of homicide in the united state and why particularly black community struggle with high murder rate a well a what can and must be done to change the status quo for the better
#"
262,"261,259 1-sentence-summary girl stop apologizing is an inspirational book for woman everywhere to start living up to their potential and stop apologizing for following their dream
#"
263,"262,260 1-sentence-summary girl wash your face inspires woman to take their life into their own hand and make their dream happen no matter how discouraged they may feel at the moment
#"
264,"263,""261,1-sentence-summary girlboss show that even an unconventional life can lead to success when you discover your passion and improve your skill in unusual and unpredictable way""
#"
265,"264,262 1-sentence-summary give and take explains the three different type of how we interact with others and show you why being a giver is contrary to popular belief the best way to success in business and life
#"
266,"265,263 1-sentence-summary good to great examines what it take for ordinary company to become great and outperform their competitor by analyzing 28 company over 30 year who managed to make the transition or fell prey to their bad habit
#"
267,"266,264 1-sentence-summary grain brain take a look at the impact carbohydrate have on the structure and development of your brain arriving at the conclusion that a diet high in fat low in carbs and especially sugar combined with fasting lot of activity and more sleep could provide you with a much higher quality of life
#"
268,"267,""265,1-sentence-summary great at work examines what it take to be a top performer and give practical advice to achieve significant result at work while maintaining an excellent work-life balance""
#"
269,"268,266 1-sentence-summary great by choice analyzes what make the world s best company thrive in even the most uncertain and chaotic time by distilling nine year of research and great story into three actionable principle
#"
270,"269,""267,1-sentence-summary great thinker show how much of what s truly important in life can be solved by the wisdom left behind by brilliant mind from long past""
#"
271,"270,268 1-sentence-summary grit describes what creates outstanding achievement based on science interview with high achiever from various field and the personal history of success of the author angela duckworth uncovering that achievement isn t reserved for the talented only but for those with passion and perseverance
#"
272,"271,""269,1-sentence-summary growth hacker marketing us a 4-step framework to explain how today s startup remove the barrier between marketing and product development to make the product itself the best way to get new customer""
#"
273,"272,270 1-sentence-summary habit of a happy brain explains the four neurotransmitter in your brain that create happiness why you can t be happy all the time and how you can rewire your brain by taking responsibility for your own hormone and thus happiness
#"
274,"273,271 1-sentence-summary hacker and painter is a collection of essay by y combinator founder paul graham about what make a good computer programmer and how you can code the future if you are one making a fortune in the process
#"
275,"274,272 1-sentence-summary happier at home is an instruction manual to transform your home into a castle of happiness by figuring out what need to be changed what need to stay the same and embracing the gift of family
#"
276,"275,""273,1-sentence-summary happier will improve your mental state and level of success by identifying what you get wrong about joy and how to discover what s most important to you and how to make those thing a more significant part of your life""
#"
277,"276,274 1-sentence-summary happiness will teach you how our desire for it developed what it benefit are why money actually hurt our happiness and where it really come from and how western country could easily increase their happiness with a few change
#"
278,"277,275 1-sentence-summary hardwiring happiness tell you what you can do to overcome your negativity bias of focusing on and exaggerating negative event by relishing extending and prioritizing the good thing in your life to become happier
#"
279,"278,276 1-sentence-summary hatching twitter detail the story and human drama behind the creation and meteoric rise of twitter the social medium platform that s changed how we communicate over the past ten year
#"
280,"279,277 1-sentence-summary hit refresh tell the inspiring story of an indian boy named satya nadella who eventually went on to become the ceo of microsoft one of the biggest company in the world
#"
281,"280,""278,1-sentence-summary hold me tight give you advice on how to build and sustain a deeper connection with your spouse or partner by identifying the importance that every kind of emotion ha in creating a lasting relationship and how to handle each of them maturely""
#"
282,"281,""279,1-sentence-summary homo deus illustrates the history of the human race from how we came to be the dominant specie over what narrative are shaping our life today all the way to which obstacle we must overcome next to continue to thrive""
#"
283,"282,280 1-sentence-summary hooked show you how some of the world s most successful product like smartphones make u form habit around them and why that s crucial to their success before teaching you the 4-step framework that lie behind them
#"
284,"283,""281,1-sentence-summary how emotion are made explores the often misconstrued world of human feeling and the cutting-edge science behind how they re formed""
#"
285,"284,282 1-sentence-summary how google work shine a light on the hiring and operating process of google which have enabled it to come up with great product continuously and stay visionary over the past 17 year
#"
286,"285,283 1-sentence-summary how luck happens show you how to foster your own luck by creating the condition for it to manifest itself in your work love and all other aspect of life
#"
287,"286,284 1-sentence-summary how not to be wrong show you that math is really just the science of common sense and that studying a few key mathematical idea can help you ass risk better make the right decision navigate the world effortlessly and be wrong a lot le
#"
288,"287,""285,1-sentence-summary how not to die delivers a template for extending your life based on scientific research which recommends switching to a mainly plant-based diet""
#"
289,"288,286 1-sentence-summary how not to worry will teach you how to live stress-free by revealing your brain s primitive emotional survival instinct and providing a simple and effective roadmap for letting go of your anxiety
#"
290,"289,
#"
291,"290,287 1-sentence-summary how successful people think lay out eleven specific way of thinking you can practice to live a better happier more successful life
#"
292,"291,288 1-sentence-summary how to be a positive leader tap into the expertise of 17 leadership expert to show you how you can become a positive leader who empowers everyone around him whether at work or at home with small change that compound into a big impact
#"
293,"292,289 1-sentence-summary how to be a stoic is a practical guide to ancient philosophy in modern life covering the principle socrates epictetus and cato followed in the three discipline of desire action and assent
#"
294,"293,290 1-sentence-summary how to be alone show you that solitude not only ha it benefit but is a vital component of happiness and that you should embrace it and slowly discover what dosage you need and why it s okay to let society think you re a bit weird sometimes
#"
295,"294,291 1-sentence-summary how to be an antiracist will make you a better kinder and more fair person by revealing how deeply ingrained racism is in our society and outlining what we can all do to annihilate it completely
#"
296,"295,""292,1-sentence-summary how to be black is a personal story illustrating what it mean to be black in a reality largely determined by the white culture""
#"
297,"296,293 1-sentence-summary how to become a straight-a student give you the technique a student have used to pas college with flying color and summa cum laude degree without compromising their entire life and spending every minute in the library ranging from time management and note-taking tactic all the way to how you can write a great thesis
#"
298,"297,294 1-sentence-summary how to change your mind reveals new evidence on psychedelics confirming their power to cure mental illness ease depression and addiction and help people die more peacefully
#"
299,"298,295 1-sentence-summary how to create a mind break down the human brain into it component in order to then draw parallel to computer and find out what is required to let them replicate our mind thus creating true artificial intelligence
#"
300,"299,296 1-sentence-summary how to do nothing make you more productive and help you have more peace by identifying the problem with our current 24/7 work culture where it came from and how pausing to reflect help you overcome it
#"
301,"300,297 1-sentence-summary how to fail at almost everything and still win big is the memoir of dilbert cartoonist scott adam in which he share how he learned to take care of himself so he could go from loss to loss until eventually winning big
#"
302,"301,298 1-sentence-summary how to read a book is a 1940 classic teaching you how to become a more active reader and deliberately practice the various stage of reading in order to maximize the value you get from book
#"
303,"302,299 1-sentence-summary how to read literature like a professor show you how to get more out of your reading by educating you about the basic of classic literature and how author use pattern theme memory and symbolism in their work to deliver their message to you
#"
304,"303,300 1-sentence-summary how to stop worrying and start living is a self-help classic which address one of the leading cause of physical illness worry by showing you simple and actionable technique to eliminate it from your life
#"
305,"304,301 1-sentence-summary how to will help you get better at abstract thinking a it give solution to some of the strangest problem in the wackiest but still scientific way
#"
306,"305,302 1-sentence-summary how to talk to anyone is a collection of actionable tip to help you master the art of human communication leave great first impression and make people feel comfortable around you in all walk of life
#"
307,"306,""303,1-sentence-summary how to win at the sport of business is mark cuban s account of how he changed his mindset and attitude over the year to go from broke to billionaire and help you embrace the habit of a successful businessman or woman""
#"
308,"307,304 1-sentence-summary how to win friend and influence people teach you countless principle to become a likable person handle your relationship well win others over and help them change their behavior without being intrusive
#"
309,"308,305 1-sentence-summary how we got to now explores the history of innovation how innovation connect to one another create an environment for change and where innovation come from
#"
310,"309,306 1-sentence-summary how we learn teach you how your brain creates and recall memory what you can do to remember thing better and longer and how you can boost your creativity and improve your gut decision along the way
#"
311,"310,307 1-sentence-summary how will you measure your life show you how to sustain motivation at work and in life to spend your time on earth happily and fulfilled by focusing not just on money and your career but your family relationship and personal well-being
#"
312,"311,308 1-sentence-summary howard hughes his life and madness detail the birth childhood career death and legacy of shimmering business tycoon howard hughes who wa a billionaire world-renowned aviator actor and industry magnate
#"
313,"312,309 1-sentence-summary human are underrated dissects how computer now beat human when it come to knowledge but will never surpass u in social skill or creativity
#"
314,"313,""310,1-sentence-summary i thought it wa just me but it isn t help you understand and better manage the complicated and painful feeling of shame""
#"
315,"314,311 1-sentence-summary i wear the black hat show you that determining if a person is good or bad isn t a straightforward a you might think by uncovering some of the bias that make u see people in a different light regardless of their true intention
#"
316,"315,""312,1-sentence-summary i will teach you to be rich help you save money on autopilot while allowing yourself to spend guilt-free on the thing you enjoy""
#"
317,"316,313 1-sentence-summary identity explains the evolution of identity politics and how they lead the way to deep political division giving suggestion about what we can do to alleviate this ever-growing problem
#"
318,"317,314 1-sentence-summary if you re so smart why aren t you happy walk you through the seven deadly sin of unhappiness which will show you how small the correlation between success and happiness truly is and help you avoid chasing the wrong thing in your short time here on earth
#"
319,"318,315 1-sentence-summary ignore everybody outline 40 way for creative people to let their inner artist bubble to the surface by staying in control of their art not selling out and refusing to conform to what the world want you to do
#"
320,"319,316 1-sentence-summary ikigai explains how you can live a longer and happier life by having a purpose eating healthy and not retiring
#"
321,"320,317 1-sentence-summary imagine it forward inspires business and individual to challenge outdated thinking and way of doing work by sharing the life and business experience of beth comstock one of america s most innovative businesswoman
#"
322,"321,318 1-sentence-summary immunity is an introductory guide to how your immune system work why it s a double-edged sword and which law govern it existence
#"
323,"322,""319,1-sentence-summary impeachment is your guide to understanding how the u government ha the power to remove a president and review the event surrounding past eviction of the commander-in-chief""
#"
324,"323,""320,1-sentence-summary imperfect courage is the story of how entrepreneur jessica honegger learned to step out of her comfort zone and build a million-dollar business helping artist and people in need around the world""
#"
325,"324,321 1-sentence-summary in defense of food describes the decline of food in exchange for diet driven by science and nutritional data how this decline ha ruined our health and what you can do to return to food a a simple cultural natural aspect of life
#"
326,"325,322 1-sentence-summary in search of excellence is a study of america s top 15 company revealing what entrepreneur should focus on if they want their business to thrive
#"
327,"326,323 1-sentence-summary influence ha been the go-to book for marketer since it release in 1984 which delivers six key principle behind human influence and explains them with countless practical example
#"
328,"327,""324,1-sentence-summary inner engineering is a guide to creating a life of happiness by exploring your internal landscape of thought and feeling and learning to align them with what the universe tell you""
#"
329,"328,325 1-sentence-summary insight will help you understand what self-awareness is why it s vital if you want to become your best self and how to overcome the obstacle in the way of having more of it
#"
330,"329,326 1-sentence-summary inventology take you through the history of how many of the world s best inventor came across their idea uncovering their creative process and how you can update it for today to figure out what drive great invention and come up with your own
#"
331,"330,327 1-sentence-summary invisible influence will help you make better choice by revealing and reducing the effect that others have on your action thought and preference
#"
332,"331,328 1-sentence-summary irresistible reveals how alarmingly stuck to our device we are show the negative consequence of technology addiction and give tip for a healthier relationship with the digital world
#"
333,"332,
#"
334,"333,329 1-sentence-summary it doesn t have to be crazy at work help you relax about the current hurry-up and work yourself to death culture and instead see why getting rid of these stressful mentality will make you and your company more focused calm and productive
#"
335,"334,330 1-sentence-summary iwoz is steve wozniak s autobiography detailing his story in his own word from early tinkering with electronics in his home to college and his first job all the way to singlehandedly creating the world s first desktop computer the apple i and founding what would become the most valuable company in the world
#"
336,"335,331 1-sentence-summary jab jab jab right hook is a message to everyone who s not on the social medium train yet showing them how to tell their story the right way on social medium so that it ll actually get heard
#"
337,"336,332 1-sentence-summary joy at work take marie kondo s famous tidying-up tip and applies it to your job to help you be happier in the physical area digital space and us of your time in the office
#"
338,"337,""333,1-sentence-summary just listen teach how to get your message across to anyone by using proven listening and persuasion technique""
#"
339,"338,334 1-sentence-summary labor of love illustrates the history of modern dating a we know it starting from it origin in the late 1800s all the way to the dating website and apps we know today
#"
340,"339,335 1-sentence-summary launch is an early internet entrepreneur step-by-step blueprint to creating product people want launching them from the comfort of your home and building the life you ve always wanted thanks to the power of psychology email and of course the internet
#"
341,"340,336 1-sentence-summary leader eat last teach you where the need for leadership come from historically what the consequence of bad leadership are and how you can be a good leader in the modern world
#"
342,"341,""337,1-sentence-summary leadershift will show you how to become a great leader by identifying the need to constantly improve your mindset and method and showing you what to do so that you can make the biggest impact on your team and your organization""
#"
343,"342,338 1-sentence-summary leadership strategy and tactic show you how to become effective when you re in charge by using the power of trait like accountability humility and others that jocko willink us to lead his team of navy seal
#"
344,"343,339 1-sentence-summary lean analytics open up the world of collecting and analyzing data to new entrepreneur by showing them how to use data a a powerful tool without getting consumed by it to build launch and grow their startup faster while focusing on the right metric
#"
345,"344,340 1-sentence-summary lean in dig deep into gender inequality and why woman are still underrepresented a a valuable part of our global workforce showing how they unintentionally hold themselves back a well a outlining way for u to enable and support them including how you a a woman can take the lead and hold the flag of woman in work high
#"
346,"345,341 1-sentence-summary learned optimism dig into why optimist are healthier happier and more successful people than pessimist how both are learned attitude and what you can do to become an optimist yourself
#"
347,"346,342 1-sentence-summary leonardo da vinci is walter isaacson s account of the life of one of the most brilliant artist thinker and innovator who ever lived
#"
348,"347,343 1-sentence-summary le doing more living is based on the assumption that the le you have to do the more life you have to live and help you implement this philosophy into your life by giving you real-world tool to boost efficiency in every aspect of your life
#"
349,"348,344 1-sentence-summary letter from a stoic is a collection of moral epistle famous roman stoic and philosopher seneca sent to his friend lucilius in order to help him become le emotional more disciplined and find the good life
#"
350,"349,345 1-sentence-summary liespotting teach you how to identify deceptive behavior with practical advice and foster a culture of trust truth and honesty in your immediate environment
#"
351,"350,""346,1-sentence-summary life after google explains why silicon valley is suffering a nervous breakdown a big data and machine intelligence come to an end and the post-google era dawn""
#"
352,"351,347 1-sentence-summary linchpin show you why the time of simply following instruction at your job is over and how to make yourself indispensable which is a must for success today
#"
353,"352,""348,1-sentence-summary living in your top 1 show you how to become your best self and live up to your full potential by outlining nine science-backed way to beat the odds and achieve your goal and dream""
#"
354,"353,349 1-sentence-summary long-term thinking for a short-sighted world explains why we rarely think about the long-term consequence of our action how this put our entire specie in danger and what we can do to change and ensure a thriving future for mankind
#"
355,"354,350 1-sentence-summary long walk to freedom is the autobiography of nelson mandela south african anti-apartheid activist national icon and the first south african black president elected in the first fully democratic election in the country
#"
356,"355,351 1-sentence-summary losing my virginity detail richard branson s meteoric rise to success and dig into what made him the adventurous fun-loving daring entrepreneur he is today and what lesson you can learn about business from him
#"
357,"356,352 1-sentence-summary lost connection explains why depression affect so many people and that improving our relationship not taking medication is the way to beat our mental health problem
#"
358,"357,353 1-sentence-summary loving what is give you four simple question to turn negative thought around change how you react to the event and people that stress you and thus end your own suffering to love reality a it is
#"
359,"358,354 1-sentence-summary made to stick examines advertising campaign urban myth and compelling story to determine the six trait that make idea stick in our brain so you don t just know why you remember some thing better than others but can also spread your own idea more easily among the right people
#"
360,"359,355 1-sentence-summary make a killing on kindle show you how you can market your self-published ebooks on amazon the right way without wasting time on social medium or building a huge author platform first by focusing on a few key area to set up your book for long-term sale in just 18 hour
#"
361,"360,356 1-sentence-summary make time is about creating space in your life for what truly matter using highlight laser-style focus energizing break and regularly reflecting on how you spend your most valuable asset
#"
362,"361,""357,1-sentence-summary make your bed encourages you to pursue your goal and change the life of others for the better by showing that success is a combination of individual willpower and mutual support""
#"
363,"362,358 1-sentence-summary make your mark is a business book for creatives telling them how to get started on turning their creative energy into a profitable business with simple actionable idea taken from 20 leading entrepreneur and designer who lead successful creative business
#"
364,"363,359 1-sentence-summary making idea happen is a systematized approach to coming up with creative idea and more importantly actually executing them that team and company can use to move their business and the world forward
#"
365,"364,""360,1-sentence-summary making it all work explains how to balance your daily task with your long-term goal to bring them all together for a happy and productive life""
#"
366,"365,361 1-sentence-summary man s search for meaning detail holocaust survivor viktor frankl s horrifying experience in nazi concentration camp along with his psychological approach of logotherapy which is also what helped him survive and show you how you can – and must – find meaning in your life
#"
367,"366,""362,1-sentence-summary manufacturing consent reveals how the upper class control and skews the news to get the mass to believe whatever serf them best""
#"
368,"367,363 1-sentence-summary mastery debunks the myth of talent and show you there are proven step you can take to achieve mastery in a discipline of your own choosing by analyzing the path of some history s most famous master such a einstein darwin and da vinci
#"
369,"368,""364,1-sentence-summary maybe you should talk to someone will help you feel more comfortable with using therapy to improve your mental health by giving a candid look into how therapy really work from the point of view of an experienced therapist who also found herself needing it""
#"
370,"369,365 1-sentence-summary measure what matter teach you how to implement tracking system into your company and life that will help you record your progress stay accountable and make reaching your goal almost inevitable
#"
371,"370,366 1-sentence-summary meditation on first philosophy is the number one work of philosophy of the western world written by rené descartes in 1641 abandoning everything that can possibly be doubted and then starting to reason his way from there
#"
372,"371,367 1-sentence-summary meditation is a collection of 12 book written by roman emperor marcus aurelius who ll introduce you to stoic philosophy the concept of logic self-discipline and give you faith that the course the world run is a good one
#"
373,"372,368 1-sentence-summary men are from mar woman are from venus help you improve your relationship by identifying the key difference between men and woman
#"
374,"373,369 1-sentence-summary merchant of doubt explains how a small but loud group of researcher were able to mislead the public about the truth around global warming tobacco ddt and other important issue for decade
#"
375,"374,""370,1-sentence-summary metahuman show you how to tap into your unlimited potential by discovering a higher level of awareness surrounding the limit of your everyday reality""
#"
376,"375,371 1-sentence-summary million dollar consulting teach you how to build a thriving consultancy business by focusing on relationship delivering strategic value and thinking long-term all the way through
#"
377,"376,""372,1-sentence-summary millionaire success habit will teach you the habit you need to become financially successful and make a big difference in the world along the way""
#"
378,"377,373 1-sentence-summary mind gym explains why the performance of world-class athlete isn t only a result of their physical training but just a much due to their mentally fit mind and show you how you can cultivate the mindset of a top performer yourself
#"
379,"378,374 1-sentence-summary mindset explains the difference between having a fixed and a growth mindset why one trump the other and what you can do to adopt the right one
#"
380,"379,375 1-sentence-summary mindsight offer a new way of transforming your life for the better by connecting emotional awareness with the right reaction in your body based on the work of a renowned pyschologist and his patient
#"
381,"380,376 1-sentence-summary mini habit explains how you can get the most out of the fact that 45 of your behavior happens on autopilot by setting ridiculously small goal relying on willpower instead of motivation and tracking your progress to live a life that s full of good mini habit
#"
382,"381,""377,1-sentence-summary minimalism is an instructive introduction to the philosophy of le and how it helped two guy who had achieved the american dream let go of their possession and the depression that came with them""
#"
383,"382,378 1-sentence-summary mistake were made but not by me take you on a journey of famous example and area of life where mistake are hushed up instead of admitted showing you along the way how this hinders progress why we do it in the first place and what you can do to start honestly admitting your own
#"
384,"383,379 1-sentence-summary money master the game hold 7 simple step to financial freedom based on the advice of the world s best billionaire investor interviewed by tony robbins
#"
385,"384,""380,1-sentence-summary money is your guide for learning how to stop pushing yourself to do more at your job and live a happier and more fulfilling life by making your money work hard for you""
#"
386,"385,""381,1-sentence-summary moneyland uncovers the mystery of how the rich keep getting richer by revealing the great length they ll go to so they can avoid tax and other thing that threaten their wealth""
#"
387,"386,""382,1-sentence-summary moonshot describes why now is the best time ever to build a business and how you can harness technology to create an experience customer will love by seeing the possibility of the future before others do""
#"
388,"387,383 1-sentence-summary moonwalking with einstein not only educates you about the history of memory and how it standing ha declined over century but also give you actionable technique to extend and improve your own
#"
389,"388,384 1-sentence-summary move your bus shed some light on the different group of member in an organization be it a school or a company and how leader can inspire those different group a well a how individual can move up and become more valuable to the organization they serve
#"
390,"389,""385,1-sentence-summary multiplier help u become more efficient leader by magnifying the strength of our team and dealing with manager that pull everyone down""
#"
391,"390,386 1-sentence-summary my age of anxiety is your guide to understanding an aspect of mental illness that most of u don t realize is so severe showing it s biological and environmental origin and way to treat it
#"
392,"391,""387,1-sentence-summary my stroke of insight teach you how to calm yourself anytime by simply tuning into the inherent peacefulness of the right side of the brain""
#"
393,"392,388 1-sentence-summary napoleon the great is the definitive modern biography of legendary leader french idol and european visionary napoleon bonaparte detailing his life from his early year a an immigrant over his rise through the military rank all the way to his greatest battle political achievement and ultimate exile
#"
394,"393,389 1-sentence-summary necessary ending is a guide to change that explains how you can get rid of unwanted behavior event and people in your life and use the magic of new beginning to build a better life
#"
395,"394,390 1-sentence-summary never eat alone is a modern classic which explains the art of networking and give you actionable advice on how you can harness the power of good relationship and become a good networker to build a career you love
#"
396,"395,""391,1-sentence-summary never split the difference explains why you should never compromise and how to negotiate like a pro in your everyday life""
#"
397,"396,""392,1-sentence-summary no-drama discipline is a refreshing approach to parenting that look at the neuroscience of a developing child s brain to understand how to best discipline and teach kid while making them feel loved""
#"
398,"397,393 1-sentence-summary no excuse teach u that self-discipline is the key to success and give u practical advice to master it and achieve self-actualization happy relationship and financial security
#"
399,"398,394 1-sentence-summary nobody want to read your sh t combine countless lesson steven pressfield ha learned from succeeding a a writer in advertising the movie industry fiction non-fiction and self-help in order to help you write like a pro
#"
400,"399,395 1-sentence-summary nonviolent communication explains how focusing on people s underlying need and making observation instead of judgment can revolutionize the way you interact with anybody even your worst enemy
#"
