,book,response
216,Energy,"Energy makes you smarter by helping you understand where this important aspect of our lives comes from, how we’ve used it throughout history to get to where we are today, and why we need to be careful about how we consume it so that we can have a better future."
217,Enlightenment Now," Enlightenment Now describes how the values of the Enlightenment, science, reason, humanism, and progress, keep improving our world until today, making it a better place day by day, despite the negative news."
218,EntreLeadership,EntreLeadership provides you with a path to becoming a great leader in your company by identifying the necessary management and entrepreneurial skills.
219,Epic Content Marketing,Epic Content Marketing shows why traditional methods for selling like TV and direct mail are dead and how creating content is the new future of advertising because it actually grabs people’s attention by focusing on what they care about instead of your product.
220,Essentialism, Essentialism shows you a new approach to productivity and life by allowing you to be extremely selective about the essential things in your life and then ruthlessly cutting out everything else.
221,Everybody Lies,"Everybody Lies will expand your mind about the true nature of human beings by explaining what big data is, how it came to be, and how we can use it to understand ourselves better."
222,Everybody Matters,"Everybody Matters identifies the best way to become successful in business, help your team members trust you, and enable people to reach their full potential by showing the power of taking better care of your employees as if they were family."
223,Everything I Know," Everything I Know ditches all the rules and gives you a guide to living a fulfilled and adventurous life that can be infinitely updated, stretched, expanded and customized, based on who you are, instead of another “do-this-to-get-rich-fast” scheme that doesn’t work for everyone."
224,Everything Is F*cked,Everything Is F*cked explains what’s wrong with our approach towards happiness and gives philosophical suggestions that help us make our lives worth living.
225,Everything Is Figureoutable,Everything Is Figureoutable will help you annihilate the limiting beliefs that are holding you back so that you can finally pursue your dreams by identifying the thinking patterns that get you stuck and how to use self-empowerment principles to become free.
226,Everything Is Obvious," Everything Is Obvious shows you that common sense isn’t as reliable as you think it is, because it often fails us in helping to make predictions, and how you can change the way you or your company make decisions with more scientific, statistically grounded methods."
227,Evicted,"Evicted reveals the awful situation of those living in the poorest cities in the United States by identifying how this situation came to be, the horrendous effect it has on the individuals and families that deal with it, and what we might do to stop it."
228,Excellent Sheep," Excellent Sheep describes how fundamentally broken elite education is, why it makes students feel depressed and lost, how educational institutions have been alienated from their true purpose, what students really must learn in college and how we can go back to making college a place for self-discovery and critical thinking."
229,Executive Presence,Executive Presence is an insightful and actionable overview of the most essential components of a successful leader’s presence.
230,Exploring The World Of Lucid Dreaming,Exploring The World Of Lucid Dreaming is a practical guide to dreaming consciously which uncovers an invaluable channel of communication between your conscious and unconscious mind.
231,Extraordinary Influence,"Extraordinary Influence helps you become a better leader by revealing what neuroscience has to say about effective leadership, identifying communication as the key to the highest levels of performance."
232,Extreme Ownership,"Extreme Ownership contains useful leadership advice from two Navy SEALs who learned to stay strong, disciplined, and level-headed in high-stakes combat scenarios."
233, Facebook Ads Manual,"Facebook Ads Manual gives you an exact, step-by-step tutorial to create and run your first Facebook ads campaign, allowing you to market your product, page, or yourself to a massive audience for next to no money and make you a true social media marketer."
234,Factfulness," Factfulness explains how our worldview has been distorted with the rise of new media, which ten human instincts cause erroneous thinking, and how we can learn to separate fact from fiction when forming our opinions."
235,Failing Forward," Failing Forward will help you stop making excuses, start embracing failure as a natural, necessary part of the process and let you find the confidence to proceed anyway."
236,Faith,"Faith is an in-depth exploration of the many meanings of faith and the various ways it affects human life, backed by the personal account of former US President Jimmy Carter."
237,Farmageddon," Farmageddon is a shocking compendium of the facts and figures about how the mass production of cheap meat influences our world, ranging from water and air pollution, to threatening species, to making us obese and sick, in order to show why we must return to more traditional farming techniques to sustainably feed the world."
238,Fast Food Nation," Fast Food Nation describes how the fast food industry has reduced the overall food quality worldwide, created poor working conditions for millions of people and ruined public health."
239,Fear,"Fear takes an inside look through the eyes of journalist, Bob Woodward, into a deeply flawed President, Donald Trump, and the dysfunctional administration that surrounds him. "
240,Feral,Feral will help you find ways to improve the well-being of humanity by illustrating the deep connection between us and Nature and offering actionable advice on how to preserve balance in our ecosystems through rewilding.
241,Find Your Why," Find Your Why is an actionable guide to discover your mission in life, figure out how you can live it on a daily basis and share it with the world."
242,Finding My Virginity," Finding My Virginity is Richard Branson’s follow-up biography, which shares the highlights of his entrepreneurial journey over the past two decades."
243,Finding Your Element," Finding Your Element shows you how to find your talents and passions, embrace them, and come up with your own definition of happiness, so you can combine what you love with what you’re good at to live a long, happy life."
244,Finish,"Finish identifies perfectionism as the biggest enemy of your goals, in order to then help you defeat it with research backed strategies to get things out the door while having fun, taking the pressure off and cutting yourself some slack."
245,Finite And Infinite Games,"Finite And Infinite Games offers the theory that we play many different games in life, showing you that work and relationships are long-term endeavors and how to play them in order to win."
246,Fire And Fury," Fire And Fury is a first-person account of Donald Trump’s presidential campaign in 2016, his unexpected victory, and subsequent first year in the White House as 45th president of the United States."
247,First Bite," First Bite explains how you’ve acquired your eating habits in your childhood and why they’re not hardwired, as well as how you can change them for the better and teach your children to eat healthy."
248,First Things First," First Things First shows you how to stop looking at the clock and start looking at the compass, by figuring out what’s important, prioritizing those things in your life, developing a vision for the future, building the right relationships and becoming a strong leader wherever you go."
249,Flourish," Flourish establishes a new model for well-being, rooted in positive psychology, building on five key pillars to help you create a happy life through the power of simple exercises."
250,Flow," Flow explains why we seek happiness in externals and what’s wrong with it, where you can really find enjoyment in life, and how you can truly become happy by creating your own meaning of life."
251,Focus," Focus shows you that attention is the thing that makes life worth living and helps you develop more of it to become focused in every area of life: work, relationships and your own attitude towards life and the planet."
252,Food Fix,Food Fix will help you eat healthier and improve the environment at the same time by explaining how bad our food is for us and our planet and what we can each do to fix these problems.
253,Fooled By Randomness," Fooled By Randomness explains how luck, uncertainty, probability, human error, risk, and decision-making work together to influence our actions, set against the backdrop of business and specifically, investing, to uncover how much bigger the role of chance in our lives is, than we usually make it out to be."
254,Forensics: The Anatomy Of Crime," Forensics: The Anatomy Of Crime gives you an inside looks at all the different fields of criminal forensics and their history, showing you how the investigation and evidence-collection of crimes has changed dramatically within the last 200 years, helping us find the truth behind more and more crimes."
255,Founders at Work,Founders at Work shows you how to start a successful business based on the principles of the founders of some of the world’s most famous and accomplished startups.
256,Freakonomics," Freakonomics helps you make better decisions by showing you how your life is dominated by incentives, how to close information asymmetries between you and the experts that exploit you and how to really tell the difference between causation and correlation."
257,Free: The Future Of A Radical Price," Free: The Future Of A Radical Price explains how offering things for free has moved from marketing gimmick to truly sustainable business strategy, thanks to the power of the internet, and how free and freemium models are already changing how we sell stuff."
258,Free To Focus,"Free To Focus will make you more productive by identifying why your understanding of the definition of efficient work is flawed, how to fix it, and how to have the confidence to say no to distractions and work that isn’t worth your time."
259,From Here To Financial Happiness,From Here To Financial Happiness is your guide to having a healthier relationship with money and shows you how looking to the future to prepare for what’s ahead can make you a lot less stressed about your financial life.
260,Game Changers,Game Changers reveals the secrets that some of the most impactful people in the world use to hack their biology and win at life and will teach you how to achieve your goals and be happy. 
261,Genius Foods,Genius Foods is the ultimate science-based diet plan that will help your brain perform with clarity and intelligence while protecting you against dementia. 
262,Genius: The Life And Science Of Richard Feynman," Genius: The Life And Science Of Richard Feynman tells the story of one the greatest minds in the history of science, all the way from his humble beginnings to changing physics as we know it and receiving the Nobel prize."
263,Get Out Of Your Own Way,Get Out Of Your Own Way guides you through the process of overcoming what’s holding you back from being your best self and reaching success you’ve never dreamed of by identifying how Dave Hollis came to realize his limiting beliefs and beat them.
264,Get Smart," Get Smart reveals how you can access more of your brain’s power through simple, actionable brain training techniques that’ll spark your creativity, make you look for the positive and help you achieve your goals faster."
265,Getting Everything You Can Out Of All You’ve Got," Getting Everything You Can Out Of All You’ve Got gives you 21 ways to beat the competition in business by working with the assets you have, but are not considering, learning to see opportunities where others see obstacles and doing things differently on purpose."
266,Getting There,Getting There will inspire you to move toward your entrepreneurial dreams with the business journeys of six successful entrepreneurs. 
267,Getting Things Done," Getting Things Done is a manual for stress-free productivity, which helps you set up a system of lists, reminders and weekly reviews, in order to free your mind from having to remember tasks and to-dos and instead let it work at full focus on the task at hand."
268,Ghettoside," Ghettoside explains the history of homicide in the United States and why particularly black communities struggle with high murder rates, as well as what can and must be done to change the status quo for the better."
269,"Girl, Stop Apologizing","Girl, Stop Apologizing is an inspirational book for women everywhere to start living up to their potential and stop apologizing for following their dreams. "
270,"Girl, Wash Your Face","Girl, Wash Your Face inspires women to take their lives into their own hands and make their dreams happen, no matter how discouraged they may feel at the moment."
271,#GIRLBOSS,#GIRLBOSS shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways.
272,Give And Take," Give And Take explains the three different types of how we interact with others and shows you why being a giver is, contrary to popular belief, the best way to success in business and life."
273,Good To Great," Good To Great examines what it takes for ordinary companies to become great and outperform their competitors by analyzing 28 companies over 30 years, who managed to make the transition or fell prey to their bad habits."
274,Grain Brain," Grain Brain takes a look at the impact carbohydrates have on the structure and development of your brain, arriving at the conclusion that a diet high in fat, low in carbs and especially sugar, combined with fasting, lots of activity and more sleep could provide you with a much higher quality of life."
275,Great At Work,Great At Work examines what it takes to be a top performer and gives practical advice to achieve significant results at work while maintaining an excellent work-life balance.
276,Great By Choice," Great By Choice analyzes what makes the world’s best companies thrive in even the most uncertain and chaotic times, by distilling nine years of research and great stories into three actionable principles."
277,Great Thinkers,Great Thinkers shows how much of what’s truly important in life can be solved by the wisdom left behind by brilliant minds from long past. 
278,Grit," Grit describes what creates outstanding achievements, based on science, interviews with high achievers from various fields and the personal history of success of the author, Angela Duckworth, uncovering that achievement isn’t reserved for the talented only, but for those with passion and perseverance."
279,Growth Hacker Marketing, Growth Hacker Marketing uses a 4-step framework to explain how today’s startups remove the barrier between marketing and product development to make the product itself the best way to get new customers.
280,Habits Of A Happy Brain," Habits Of A Happy Brain explains the four neurotransmitters in your brain that create happiness, why you can’t be happy all the time, and how you can rewire your brain by taking responsibility for your own hormones and thus, happiness."
281,Hackers and Painters," Hackers and Painters is a collection of essays by Y Combinator founder Paul Graham about what makes a good computer programmer and how you can code the future if you are one, making a fortune in the process."
282,Happier At Home," Happier At Home is an instruction manual to transform your home into a castle of happiness by figuring out what needs to be changed, what needs to stay the same, and embracing the gift of family."
283,Happier,Happier will improve your mental state and level of success by identifying what you get wrong about joy and how to discover what’s most important to you and how to make those things a more significant part of your life.
284,Happiness," Happiness will teach you how our desire for it developed, what its benefits are, why money actually hurts our happiness and where it really comes from, and how Western countries could easily increase their happiness with a few changes."
285,Hardwiring Happiness," Hardwiring Happiness tells you what you can do to overcome your negativity bias of focusing on and exaggerating negative events by relishing, extending and prioritizing the good things in your life to become happier."
286,Hatching Twitter," Hatching Twitter details the story and human drama behind the creation and meteoric rise of Twitter, the social media platform that’s changed how we communicate over the past ten years."
287,Hillbilly Elegy,Hillbilly Elegy is the inspiring autobiography of J.D. Vance who explains how his life began in poverty and turbulence and what he had to do to beat those difficult circumstances and rise to success.
288,Hit Refresh,"Hit Refresh tells the inspiring story of an Indian boy named Satya Nadella, who eventually went on to become the CEO of Microsoft, one of the biggest companies in the world."
289,Hold Me Tight,Hold Me Tight gives you advice on how to build and sustain a deeper connection with your spouse or partner by identifying the importance that every kind of emotion has in creating a lasting relationship and how to handle each of them maturely.
290,Homo Deus, Homo Deus illustrates the history of the human race from how we came to be the dominant species over what narratives are shaping our lives today all the way to which obstacles we must overcome next to continue to thrive.
291,Hooked," Hooked shows you how some of the world’s most successful products, like smartphones, make us form habits around them and why that’s crucial to their success, before teaching you the 4-step framework that lies behind them."
292,How Emotions Are Made,How Emotions Are Made explores the often misconstrued world of human feelings and the cutting-edge science behind how they’re formed.
293,How Google Works," How Google Works shines a light on the hiring and operating processes of Google, which have enabled it to come up with great products continuously and stay visionary over the past 17 years."
294,How Luck Happens,"How Luck Happens shows you how to foster your own luck by creating the conditions for it to manifest itself in your work, love and all other aspects of life."
295,How Not To Be Wrong," How Not To Be Wrong shows you that math is really just the science of common sense and that studying a few key mathematical ideas can help you assess risks better, make the right decisions, navigate the world effortlessly and be wrong a lot less."
296,How Not To Die,How Not To Die delivers a template for extending your life based on scientific research which recommends switching to a mainly plant-based diet. 
297,How Not To Worry,"How Not To Worry will teach you how to live stress-free by revealing your brain’s primitive emotional survival instinct and providing a simple and effective roadmap for letting go of your anxieties. 
"
298,How Successful People Think," How Successful People Think lays out eleven specific ways of thinking you can practice to live a better, happier, more successful life."
299,How To Be A Positive Leader," How To Be A Positive Leader taps into the expertise of 17 leadership experts to show you how you can become a positive leader, who empowers everyone around him, whether at work or at home, with small changes, that compound into a big impact."
300,How To Be A Stoic," How To Be A Stoic is a practical guide to ancient philosophy in modern life, covering the principles Socrates, Epictetus, and Cato followed in the three disciplines of desire, action, and assent."
301,How To Be Alone," How To Be Alone shows you that solitude not only has its benefits, but is a vital component of happiness and that you should embrace it and slowly discover what dosage you need, and why it’s okay to let society think you’re a bit weird sometimes."
302,How To Be An Antiracist,"How To Be An Antiracist will make you a better, kinder, and more fair person by revealing how deeply ingrained racism is in our society and outlining what we can all do to annihilate it completely."
303,How To Be Black,How To Be Black is a personal story illustrating what it means to be black in a reality largely determined by the white culture.
304,How to Become a Straight-A Student," How to Become a Straight-A Student gives you the techniques A+ students have used to pass college with flying colors and summa cum laude degrees, without compromising their entire lives and spending every minute in the library, ranging from time management and note-taking tactics all the way to how you can write a great thesis."
305,How To Change Your Mind,"How To Change Your Mind reveals new evidence on psychedelics, confirming their power to cure mental illness, ease depression and addiction, and help people die more peacefully.  "
306,How To Create A Mind," How To Create A Mind breaks down the human brain into its components, in order to then draw parallels to computers and find out what is required to let them replicate our minds, thus creating true, artificial intelligence."
307,How To Do Nothing,"How To Do Nothing makes you more productive and helps you have more peace by identifying the problems with our current 24/7 work culture, where it came from, and how pausing to reflect helps you overcome it."
308,How To Fail At Almost Everything And Still Win Big," How To Fail At Almost Everything And Still Win Big is the memoir of Dilbert cartoonist Scott Adams, in which he shares how he learned to take care of himself, so he could go from loss to loss, until eventually winning big."
309, How To Read A Book,"How To Read A Book is a 1940 classic teaching you how to become a more active reader and deliberately practice the various stages of reading, in order to maximize the value you get from books."
310,How To Read Literature Like A Professor," How To Read Literature Like A Professor shows you how to get more out of your reading, by educating you about the basics of classic literature and how authors use patterns, themes, memory and symbolism in their work to deliver their message to you."
311,How To Stop Worrying And Start Living," How To Stop Worrying And Start Living is a self-help classic which addresses one of the leading causes of physical illness, worry, by showing you simple and actionable techniques to eliminate it from your life."
312,How To,"How To will help you get better at abstract thinking as it gives solutions to some of the strangest problems in the wackiest, but still scientific, ways."
313,How To Talk To Anyone," How To Talk To Anyone is a collection of actionable tips to help you master the art of human communication, leave great first impressions and make people feel comfortable around you in all walks of life."
314,How To Win At The Sport Of Business, How To Win At The Sport Of Business is Mark Cuban’s account of how he changed his mindset and attitude over the years to go from broke to billionaire and help you embrace the habits of a successful businessman (or woman).
315,How To Win Friends And Influence People," How To Win Friends And Influence People teaches you countless principles to become a likable person, handle your relationships well, win others over and help them change their behavior without being intrusive."
316,How We Got To Now," How We Got To Now explores the history of innovation, how innovations connect to one another, create an environment for change and where innovations come from."
317,How We Learn," How We Learn teaches you how your brain creates and recalls memories, what you can do to remember things better and longer, and how you can boost your creativity and improve your gut decisions along the way."
318,How Will You Measure Your Life," How Will You Measure Your Life shows you how to sustain motivation at work and in life to spend your time on earth happily and fulfilled, by focusing not just on money and your career, but your family, relationships and personal well-being."
319,Howard Hughes: His Life And Madness," Howard Hughes: His Life And Madness details the birth, childhood, career, death and legacy of shimmering business tycoon Howard Hughes, who was a billionaire, world-renowned aviator, actor and industry magnate."
320,Humans Are Underrated," Humans Are Underrated dissects how computers now beat humans when it comes to knowledge, but will never surpass us in social skills or creativity."
321,I Thought It Was Just Me (But It Isn’t), I Thought It Was Just Me (But It Isn’t) helps you understand and better manage the complicated and painful feeling of shame.
322,I Wear The Black Hat," I Wear The Black Hat shows you that determining if a person is good or bad isn’t as straightforward as you might think, by uncovering some of the biases that make us see people in a different light, regardless of their true intentions."
323,I Will Teach You To Be Rich,I Will Teach You To Be Rich helps you save money on autopilot while allowing yourself to spend guilt-free on the things you enjoy.
324,Identity,"Identity explains the evolution of identity politics and how they lead the way to deep political divisions, giving suggestions about what we can do to alleviate this ever-growing problem. "
325,"If You’re So Smart, Why Aren’t You Happy"," If You’re So Smart, Why Aren’t You Happy walks you through the seven deadly sins of unhappiness, which will show you how small the correlation between success and happiness truly is and help you avoid chasing the wrong things in your short time here on earth."
326,Ignore Everybody," Ignore Everybody outlines 40 ways for creative people to let their inner artist bubble to the surface by staying in control of their art, not selling out and refusing to conform to what the world wants you to do."
327,Ikigai,"Ikigai explains how you can live a longer and happier life by having a purpose, eating healthy, and not retiring."
328,Imagine It Forward,"Imagine It Forward inspires businesses and individuals to challenge outdated thinking and ways of doing work by sharing the life and business experiences of Beth Comstock, one of America’s most innovative businesswomen."
329,Immunity,"Immunity is an introductory guide to how your immune system works, why it’s a double-edged sword, and which laws govern its existence."
330,Impeachment,Impeachment is your guide to understanding how the US government has the power to remove a president and reviews the events surrounding past evictions of the commander-in-chief. 
331,Imperfect Courage,Imperfect Courage is the story of how entrepreneur Jessica Honegger learned to step out of her comfort zone and build a million-dollar business helping artists and people in need around the world.
332,In Defense Of Food," In Defense Of Food describes the decline of food in exchange for diets driven by science and nutritional data, how this decline has ruined our health and what you can do to return to food as a simple, cultural, natural aspect of life."
333,In Search Of Excellence,"In Search Of Excellence is a study of America’s top 15 companies, revealing what entrepreneurs should focus on if they want their businesses to thrive."
334,Influence,"Influence has been the go-to book for marketers since its release in 1984, which delivers six key principles behind human influence and explains them with countless practical examples."
335,Inner Engineering,Inner Engineering is a guide to creating a life of happiness by exploring your internal landscape of thoughts and feelings and learning to align them with what the universe tells you.
336,Insight,"Insight will help you understand what self-awareness is, why it’s vital if you want to become your best self, and how to overcome the obstacles in the way of having more of it."
337,Inventology," Inventology takes you through the history of how many of the world’s best inventors came across their ideas, uncovering their creative process and how you can update it for today to figure out what drives great inventions and come up with your own."
338,Invisible Influence,"Invisible Influence will help you make better choices by revealing and reducing the effect that others have on your actions, thoughts, and preferences."
339,Irresistible,"Irresistible reveals how alarmingly stuck to our devices we are, shows the negative consequences of technology addiction, and gives tips for a healthier relationship with the digital world.
"
340,It Doesn’t Have To Be Crazy At Work,"It Doesn’t Have To Be Crazy At Work helps you relax about the current hurry-up and work yourself to death culture and instead see why getting rid of these stressful mentalities will make you and your company more focused, calm, and productive."
341,iWoz," iWoz is Steve Wozniak’s autobiography, detailing his story in his own words, from early tinkering with electronics in his home, to college and his first job, all the way to singlehandedly creating the world’s first desktop computer, the Apple I and founding what would become the most valuable company in the world."
342,"Jab, Jab, Jab, Right Hook"," Jab, Jab, Jab, Right Hook is a message to everyone who’s not on the social media train yet, showing them how to tell their story the right way on social media, so that it’ll actually get heard."
343,Joy At Work,"Joy At Work takes Marie Kondo’s famous tidying-up tips and applies it to your job to help you be happier in the physical areas, digital spaces, and uses of your time in the office."
344,Just Listen,Just Listen teaches how to get your message across to anyone by using proven listening and persuasion techniques. 
345,Labor of Love," Labor of Love illustrates the history of modern dating as we know it, starting from its origins in the late 1800s all the way to the dating websites and apps we know today."
346,Launch," Launch is an early internet entrepreneurs step-by-step blueprint to creating products people want, launching them from the comfort of your home and building the life you’ve always wanted, thanks to the power of psychology, email, and of course the internet."
347,Leaders Eat Last," Leaders Eat Last teaches you where the need for leadership comes from historically, what the consequences of bad leadership are and how you can be a good leader in the modern world."
348,Leadershift,Leadershift will show you how to become a great leader by identifying the need to constantly improve your mindset and methods and showing you what to do so that you can make the biggest impact on your team and your organization.
349,Leadership And Self Deception,"Leadership And Self Deception is the ultimate guide to becoming self-aware by learning to see your faults more accurately, understanding other’s strengths and needs in a more generous light, and responding positively to the instinct within you to help other people as much as possible."
350,Leadership Strategy And Tactics,"Leadership Strategy And Tactics shows you how to become effective when you’re in charge by using the power of traits like accountability, humility, and others that Jocko Willink uses to lead his team of Navy SEALs."
351,Lean Analytics,"Lean Analytics opens up the world of collecting and analyzing data to new entrepreneurs, by showing them how to use data as a powerful tool without getting consumed by it to build, launch and grow their startup faster while focusing on the right metrics."
352,Lean In,"Lean In digs deep into gender inequality and why women are still underrepresented as a valuable part of our global workforce, showing how they unintentionally hold themselves back, as well as outlining ways for us to enable and support them, including how you as a woman can take the lead and hold the flag of women in work high."
353,Learned Optimism," Learned Optimism digs into why optimists are healthier, happier, and more successful people than pessimists, how both are learned attitudes and what you can do to become an optimist yourself."
354,Leonardo Da Vinci," Leonardo Da Vinci is Walter Isaacson’s account of the life of one of the most brilliant artists, thinkers, and innovators who ever lived."
355,Less Doing More Living," Less Doing More Living is based on the assumption that the less you have to do, the more life you have to live, and helps you implement this philosophy into your life by giving you real-world tools to boost efficiency in every aspect of your life."
356,Letters From A Stoic," Letters From A Stoic is a collection of moral epistles famous Roman Stoic and philosopher Seneca sent to his friend Lucilius, in order to help him become less emotional, more disciplined, and find the good life."
357,Liespotting,"Liespotting teaches you how to identify deceptive behavior with practical advice and foster a culture of trust, truth, and honesty in your immediate environment."
358,Life After Google,Life After Google explains why Silicon Valley is suffering a nervous breakdown as big data and machine intelligence comes to an end and the post-Google era dawns.
359,Linchpin,"Linchpin shows you why the time of simply following instructions at your job is over and how to make yourself indispensable, which is a must for success today."
360,Living In Your Top 1%,Living In Your Top 1% shows you how to become your best self and live up to your full potential by outlining nine science-backed ways to beat the odds and achieve your goals and dreams.
361,Long-Term Thinking For A Short-Sighted World," Long-Term Thinking For A Short-Sighted World explains why we rarely think about the long-term consequences of our actions, how this puts our entire species in danger and what we can do to change and ensure a thriving future for mankind."
362,Long Walk To Freedom," Long Walk To Freedom is the autobiography of Nelson Mandela, South African anti-apartheid activist, national icon and the first South African black president, elected in the first, fully democratic election in the country."
363,Losing My Virginity,"Losing My Virginity details Richard Branson’s meteoric rise to success and digs into what made him the adventurous, fun-loving, daring entrepreneur he is today and what lessons you can learn about business from him."
364,Lost Connections,"Lost Connections explains why depression affects so many people and that improving our relationships, not taking medication, is the way to beat our mental health problems."
365,Loving What Is," Loving What Is gives you four simple questions to turn negative thoughts around, change how you react to the events and people that stress you and thus end your own suffering to love reality as it is."
366,Made To Stick," Made To Stick examines advertising campaigns, urban myths and compelling stories to determine the six traits that make ideas stick in our brains, so you don’t just know why you remember some things better than others, but can also spread your own ideas more easily among the right people."
367,Make A Killing On Kindle," Make A Killing On Kindle shows you how you can market your self-published ebooks on Amazon the right way, without wasting time on social media or building a huge author platform first by focusing on a few key areas to set up your book for long-term sales in just 18 hours."
368,Make Time," Make Time is about creating space in your life for what truly matters using highlights, laser-style focus, energizing breaks, and regularly reflecting on how you spend your most valuable asset."
369,Make Your Bed,Make Your Bed encourages you to pursue your goals and change the lives of others for the better by showing that success is a combination of individual willpower and mutual support.
370,Make Your Mark," Make Your Mark is a business book for creatives, telling them how to get started on turning their creative energy into a profitable business with simple, actionable ideas taken from 20 leading entrepreneurs and designers, who lead successful creative businesses."
371,Making Ideas Happen," Making Ideas Happen is a systematized approach to coming up with creative ideas and, more importantly, actually executing them, that teams and companies can use to move their business and the world forward."
372,Making It All Work,Making It All Work explains how to balance your daily tasks with your long-term goals to bring them all together for a happy and productive life.
373,Man’s Search For Meaning," Man’s Search For Meaning details holocaust survivor Viktor Frankl’s horrifying experiences in Nazi concentration camps, along with his psychological approach of logotherapy, which is also what helped him survive and shows you how you can – and must – find meaning in your life."
374,Manufacturing Consent,Manufacturing Consent reveals how the upper class controls and skews the news to get the masses to believe whatever serves them best.
375,Mastery," Mastery debunks the myth of talent and shows you there are proven steps you can take to achieve mastery in a discipline of your own choosing, by analyzing the paths of some history’s most famous masters, such as Einstein, Darwin and Da Vinci."
376,Maybe You Should Talk To Someone,Maybe You Should Talk To Someone will help you feel more comfortable with using therapy to improve your mental health by giving a candid look into how therapy really works from the point of view of an experienced therapist who also found herself needing it.
377,Measure What Matters,"Measure What Matters teaches you how to implement tracking systems into your company and life that will help you record your progress, stay accountable, and make reaching your goals almost inevitable."
378,Meditations On First Philosophy," Meditations On First Philosophy is the number one work of philosophy of the Western world, written by René Descartes in 1641, abandoning everything that can possibly be doubted and then starting to reason his way from there."
379,Meditations," Meditations is a collection of 12 books written by Roman emperor Marcus Aurelius, who’ll introduce you to Stoic philosophy, the concept of logic, self-discipline and give you faith that the course the world runs is a good one."
380,"Men Are From Mars, Women Are From Venus","Men Are From Mars, Women Are From Venus helps you improve your relationships by identifying the key differences between men and women."
381,Merchants of Doubt,"Merchants of Doubt explains how a small but loud group of researchers were able to mislead the public about the truths around global warming, tobacco, DDT, and other important issues for decades. "
382,Metahuman,Metahuman shows you how to tap into your unlimited potential by discovering a higher level of awareness surrounding the limits of your everyday reality.
383,Million Dollar Consulting," Million Dollar Consulting teaches you how to build a thriving consultancy business, by focusing on relationships, delivering strategic value and thinking long-term all the way through."
384,Millionaire Success Habits,Millionaire Success Habits will teach you the habits you need to become financially successful and make a big difference in the world along the way.
385,Mind Gym," Mind Gym explains why the performance of world-class athletes isn’t only a result of their physical training, but just as much due to their mentally fit minds and shows you how you can cultivate the mindset of a top performer yourself."
386,Mind Over Clutter,"Mind Over Clutter helps you take steps to improve your mental health, physical health, and the environment by showing you why having too much junk is so bad for you and outlining how to get rid of it all."
387,Mindset," Mindset explains the difference between having a fixed and a growth mindset, why one trumps the other, and what you can do to adopt the right one."
388,Mindsight," Mindsight offers a new way of transforming your life for the better by connecting emotional awareness with the right reactions in your body, based on the work of a renowned pyschologist and his patients."
389,Mini Habits," Mini Habits explains how you can get the most out of the fact that 45% of your behavior happens on autopilot by setting ridiculously small goals, relying on willpower instead of motivation and tracking your progress to live a life that’s full of good mini habits."
390,Minimalism,Minimalism is an instructive introduction to the philosophy of less and how it helped two guys who had achieved the American dream let go of their possessions and the depressions that came with them.
391,"Mistakes Were Made, But Not By Me"," Mistakes Were Made, But Not By Me takes you on a journey of famous examples and areas of life where mistakes are hushed up instead of admitted, showing you along the way how this hinders progress, why we do it in the first place, and what you can do to start honestly admitting your own."
392,Money: Master The Game," Money: Master The Game holds 7 simple steps to financial freedom, based on the advice of the world’s best billionaire investors, interviewed by Tony Robbins."
393,Money,Money is your guide for learning how to stop pushing yourself to do more at your job and live a happier and more fulfilling life by making your money work hard for you. 
394,Moneyland,Moneyland uncovers the mystery of how the rich keep getting richer by revealing the great lengths they’ll go to so they can avoid taxes and other things that threaten their wealth.
395,Moonshot!,Moonshot! describes why now is the best time ever to build a business and how you can harness technology to create an experience customers will love by seeing the possibilities of the future before others do.
396,Moonwalking With Einstein," Moonwalking With Einstein not only educates you about the history of memory, and how its standing has declined over centuries, but also gives you actionable techniques to extend and improve your own."
397,Move Your Bus," Move Your Bus sheds some light on the different groups of members in an organization, be it a school or a company, and how leaders can inspire those different groups, as well as how individuals can move up and become more valuable to the organization they serve."
398,Multipliers,Multipliers helps us become more efficient leaders by magnifying the strengths of our team and dealing with managers that pull everyone down.
399,My Age Of Anxiety,"My Age Of Anxiety is your guide to understanding an aspect of mental illness that most of us don’t realize is so severe, showing it’s biological and environmental origins and ways to treat it."
400,My Stroke Of Insight,My Stroke Of Insight teaches you how to calm yourself anytime by simply tuning into the inherent peacefulness of the right side of the brain.
401,Napoleon The Great," Napoleon The Great is the definitive, modern biography of legendary leader, French idol and European visionary Napoleon Bonaparte, detailing his life from his early years as an immigrant, over his rise through the military ranks, all the way to his greatest battles, political achievements and ultimate exile."
402,Necessary Endings,"Necessary Endings is a guide to change that explains how you can get rid of unwanted behaviors, events, and people in your life and use the magic of new beginnings to build a better life."
403,Never Eat Alone," Never Eat Alone is a modern classic, which explains the art of networking and gives you actionable advice on how you can harness the power of good relationships and become a good networker to build a career you love."
404,Never Split The Difference,Never Split The Difference explains why you should never compromise and how to negotiate like a pro in your everyday life. 
405,No-Drama Discipline,No-Drama Discipline is a refreshing approach to parenting that looks at the neuroscience of a developing child’s brain to understand how to best discipline and teach kids while making them feel loved.
406,No Excuses!,"No Excuses! teaches us that self-discipline is the key to success and gives us practical advice to master it and achieve self-actualization, happy relationships, and financial security."
